compartment	group	
I01	inocula	inoc_1
I02	inocula	inoc_2
I06	inocula	inoc_6
I08	inocula	inoc_8
I11	inocula	inoc_11
I19	inocula	inoc_19
I20	inocula	inoc_20
I21	inocula	inoc_21
I22	inocula	inoc_22
I23	inocula	inoc_23
I26	inocula	inoc_26
I28	inocula	inoc_28
I30	inocula	inoc_30
I33	inocula	inoc_33
I36	inocula	inoc_36
I37	inocula	inoc_37
I39	inocula	inoc_39
I41	inocula	inoc_41
I42	inocula	inoc_42
I43	inocula	inoc_43
I44	inocula	inoc_44
I45	inocula	inoc_45
NC1	NTC	inoc_NTC
NC2	NTC	inoc_NTC
NC3	NTC	inoc_NTC
NC4	NTC	inoc_NTC
NC5	NTC	inoc_NTC
NC6	NTC	inoc_NTC
R01	root	inoc_1
R02	root	inoc_2
R06	root	inoc_6
R08	root	inoc_8
R11	root	inoc_11
R19	root	inoc_19
R20	root	inoc_20
R21	root	inoc_21
R22	root	inoc_22
R23	root	inoc_23
R26	root	inoc_26
R28	root	inoc_28
R30	root	inoc_30
R33	root	inoc_33
R36	root	inoc_36
R37	root	inoc_37
R39	root	inoc_39
R41	root	inoc_41
R42	root	inoc_42
R43	root	inoc_43
R44	root	inoc_44
R45	root	inoc_45
R46	root_gnotobiotic	inoc_46
R47	root_gnotobiotic	inoc_47
R48	root_gnotobiotic	inoc_48
R49	root_gnotobiotic	inoc_49
S01	shoot	inoc_1
S02	shoot	inoc_2
S06	shoot	inoc_6
S08	shoot	inoc_8
S11	shoot	inoc_11
S19	shoot	inoc_19
S20	shoot	inoc_20
S21	shoot	inoc_21
S22	shoot	inoc_22
S23	shoot	inoc_23
S26	shoot	inoc_26
S28	shoot	inoc_28
S30	shoot	inoc_30
S33	shoot	inoc_33
S36	shoot	inoc_36
S37	shoot	inoc_37
S39	shoot	inoc_39
S41	shoot	inoc_41
S42	shoot	inoc_42
S43	shoot	inoc_43
S44	shoot	inoc_44
S45	shoot	inoc_45
S46	shoot_gnotobiotic	inoc_46
S47	shoot_gnotobiotic	inoc_47
S48	shoot_gnotobiotic	inoc_48
S49	shoot_gnotobiotic	inoc_49
